year,country,gini_net,gini_net_se,gini_market,gini_market_se,rel_red,rel_red_se,abs_red,abs_red_se
2008,"Afghanistan",29.76845,1.992854,31.20095,2.388985,,,,
2009,"Afghanistan",30.28213,1.835354,31.72107,2.215047,,,,
2010,"Afghanistan",30.79581,1.817142,32.24119,2.193052,,,,
2011,"Afghanistan",31.30949,1.942139,32.76131,2.327312,,,,
2012,"Afghanistan",31.82318,2.185916,33.28144,2.593672,,,,
1996,"Albania",30.01829,1.584127,31.57485,2.669913,,,,
1997,"Albania",29.75373,1.589972,31.4596,2.666832,,,,
1998,"Albania",30.05222,1.476711,31.75269,2.479643,,,,
1999,"Albania",30.3507,1.429635,32.04578,2.407161,,,,
2000,"Albania",30.64919,1.455182,32.33887,2.459548,,,,
2001,"Albania",30.94768,1.549765,32.63196,2.629352,,,,
2002,"Albania",31.24617,1.701912,32.92505,2.895991,,,,
2003,"Albania",31.6505,1.459868,33.30287,2.453937,,,,
2004,"Albania",32.05484,1.65286,33.68069,2.779122,,,,
2005,"Albania",32.77429,1.724691,34.63589,2.975693,,,,
2006,"Albania",33.71894,1.639182,35.60429,2.894396,,,,
2007,"Albania",34.66358,1.795891,36.57269,3.267922,,,,
2008,"Albania",35.60823,2.142305,37.54109,3.969902,,,,
1988,"Algeria",35.18858,2.016783,38.27404,2.569391,,,,
1989,"Algeria",34.69663,1.870596,37.65541,2.381566,,,,
1990,"Algeria",34.20469,1.75262,37.03677,2.229802,,,,
1991,"Algeria",33.71273,1.668846,36.41814,2.12185,,,,
1992,"Algeria",33.22079,1.624574,35.7995,2.064596,,,,
1993,"Algeria",32.72884,1.623041,35.18087,2.062266,,,,
1994,"Algeria",32.23689,1.664364,34.56224,2.115041,,,,
1995,"Algeria",31.74494,1.745503,33.9436,2.218993,,,,
1996,"Algeria",32.69621,1.751409,35.03683,2.282005,,,,
1997,"Algeria",33.64747,1.890211,36.13005,2.536636,,,,
1998,"Algeria",34.59873,2.136157,37.22328,2.933403,,,,
1999,"Algeria",35.55,2.457284,38.31651,3.423235,,,,
2000,"Algeria",36.50126,2.828096,39.40973,3.971848,,,,
2001,"Algeria",36.30255,2.57931,39.20807,3.645438,,,,
2002,"Algeria",36.10384,2.435742,39.0064,3.461836,,,,
2003,"Algeria",35.90512,2.416221,38.80473,3.443958,,,,
2004,"Algeria",35.70642,2.523627,38.60306,3.594278,,,,
2005,"Algeria",35.50771,2.743091,38.40139,3.893363,,,,
2001,"Andorra",28.07928,1.514145,45.21214,7.418198,,,,
2002,"Andorra",28.11851,1.500798,45.32309,7.34872,,,,
2003,"Andorra",28.13604,1.50215,45.35152,7.423218,,,,
1995,"Angola",40.67561,3.085889,42.22503,3.229355,,,,
1996,"Angola",44.31702,3.024272,46.06791,3.180835,,,,
1997,"Angola",47.95844,3.159473,49.91079,3.325884,,,,
1998,"Angola",51.59985,3.468552,53.75366,3.641442,,,,
1999,"Angola",55.24126,3.910496,57.59654,4.088216,,,,
2000,"Angola",58.88267,4.445857,61.43942,4.628361,,,,
2001,"Angola",58.84648,4.069617,61.32748,4.238171,,,,
2002,"Angola",58.81028,3.852557,61.21553,4.025728,,,,
2003,"Angola",58.77409,3.821895,61.10359,4.019317,,,,
2004,"Angola",58.73789,3.981941,60.99165,4.219878,,,,
2005,"Angola",58.70169,4.311507,60.87971,4.60042,,,,
2006,"Angola",54.33847,3.47665,56.55754,3.653466,,,,
2007,"Angola",49.97525,2.924296,52.23538,3.000429,,,,
2008,"Angola",45.61203,2.825304,47.91322,2.850989,,,,
2009,"Angola",48.11736,2.696774,51.20832,2.775098,,,,
2002,"Anguilla",31.5567,1.66857,33.38005,2.282347,,,,
2003,"Anguilla",32.91221,1.594967,34.78027,2.216643,,,,
2004,"Anguilla",34.26772,1.587863,36.18048,2.240505,,,,
2005,"Anguilla",35.62323,1.648121,37.5807,2.351208,,,,
2006,"Anguilla",36.97874,1.768869,38.98092,2.537412,,,,
2007,"Anguilla",38.33424,1.938838,40.38115,2.784008,,,,
2008,"Anguilla",39.68975,2.146366,41.78136,3.076508,,,,
1961,"Argentina",39.22709,1.223283,41.58181,1.74568,,,,
1963,"Argentina",36.61632,1.113089,39.01104,1.474341,,,,
1965,"Argentina",34.75159,1.096852,37.22412,1.491392,,,,
1969,"Argentina",36.13699,1.298049,38.86053,1.92375,,,,
1970,"Argentina",34.85096,1.233838,37.55471,1.754402,,,,
1971,"Argentina",33.78838,2.351434,36.49687,2.633919,,,,
1972,"Argentina",33.00165,1.164871,35.62959,1.532591,,,,
1974,"Argentina",31.48163,.9368451,35.42631,1.696783,,,,
1975,"Argentina",31.98856,1.085305,37.44568,2.141378,,,,
1976,"Argentina",33.12415,1.148235,38.39202,2.457189,,,,
1977,"Argentina",34.73737,1.278809,40.97108,3.014185,,,,
1978,"Argentina",36.03814,1.238349,41.7191,3.024595,,,,
1979,"Argentina",37.05728,1.235541,42.2035,2.693095,,,,
1980,"Argentina",37.29535,1.131053,41.13115,2.091494,,,,
1981,"Argentina",37.70757,1.109012,40.84999,1.845025,,,,
1982,"Argentina",37.54956,1.025127,40.0412,1.54671,,,,
1983,"Argentina",37.85575,1.018812,40.43204,1.546516,,,,
1985,"Argentina",38.58218,.8345353,41.41585,1.342698,6.778502,2.605719,2.833672,1.145143
1986,"Argentina",39.75846,.7452499,42.65127,1.146601,6.73841,2.2314,2.892805,1.01054
1987,"Argentina",40.51718,.7260668,43.74548,1.181404,7.335536,2.166748,3.228302,1.012035
