country,year,gini_net,gini_net_se,gini_market,gini_market_se,rel_red,rel_red_se,abs_red,abs_red_se
"Afghanistan",2008,28.65414,2.460844,33.22993,2.543311,,,,
"Afghanistan",2009,29.11259,2.273496,33.74724,2.326763,,,,
"Afghanistan",2010,29.57103,2.258196,34.26455,2.255182,,,,
"Afghanistan",2011,30.02948,2.41821,34.78185,2.341897,,,,
"Afghanistan",2012,30.48792,2.722803,35.29915,2.570941,,,,
"Albania",1996,28.64545,2.420851,40.02182,4.552957,,,,
"Albania",1997,28.47803,2.335067,39.61523,4.38029,,,,
"Albania",1998,28.78232,2.175002,39.96821,4.3626,,,,
"Albania",1999,29.08662,2.070592,40.32119,4.45445,,,,
"Albania",2000,29.39091,2.03044,40.67417,4.64935,,,,
"Albania",2001,29.6952,2.058311,41.02715,4.935108,,,,
"Albania",2002,29.99949,2.151562,41.38013,5.29704,,,,
"Albania",2003,30.32506,2.07587,41.91879,5.131471,,,,
"Albania",2004,30.65062,2.096543,42.45744,5.150528,,,,
"Albania",2005,31.44915,2.346504,43.37318,5.424544,,,,
"Albania",2006,33.75247,2.170941,44.65943,5.345602,,,,
"Albania",2007,36.05579,2.222741,45.94569,5.872869,,,,
"Albania",2008,38.3591,2.487742,47.23195,6.86812,,,,
"Algeria",1988,32.71164,1.543841,38.00256,2.173098,,,,
"Algeria",1989,32.21531,1.45454,37.45129,2.000158,,,,
"Algeria",1990,31.71897,1.39259,36.90001,1.865578,,,,
"Algeria",1991,31.22263,1.361728,36.34872,1.778089,,,,
"Algeria",1992,30.72629,1.364068,35.79745,1.74479,,,,
"Algeria",1993,30.22995,1.399441,35.24617,1.768743,,,,
"Algeria",1994,29.73362,1.465459,34.69489,1.847725,,,,
"Algeria",1995,29.23728,1.55823,34.14361,1.975143,,,,
"Algeria",1996,30.49833,1.642749,35.44495,1.90263,,,,
"Algeria",1997,31.75938,1.828209,36.74629,1.980043,,,,
"Algeria",1998,33.02044,2.087883,38.04763,2.191552,,,,
"Algeria",1999,34.28149,2.397779,39.34898,2.503395,,,,
"Algeria",2000,35.54254,2.740916,40.65032,2.883198,,,,
"Algeria",2001,35.26909,2.484371,40.37683,2.646416,,,,
"Algeria",2002,34.99564,2.334414,40.10334,2.53442,,,,
"Algeria",2003,34.72219,2.311881,39.82986,2.563615,,,,
"Algeria",2004,34.44875,2.420332,39.55637,2.729475,,,,
"Algeria",2005,34.1753,2.643696,39.28288,3.009489,,,,
"Andorra",2001,27.9596,1.438152,45.01498,4.272529,,,,
